text,label
"""Breaking news: Scientists discover water on Mars""",1
"""New study reveals that chocolate can cure cancer""",0
"""Government announces new tax reforms""",1
"""Celebrity caught in scandalous affair""",0
"""Economy shows signs of recovery""",1
"""Fake news site claims that vaccines cause autism""",0
"""New technology promises to revolutionize healthcare""",1
"""Study finds that global warming is a hoax""",0
"""Local hero saves family from burning building""",1
"""Scientists say that aliens have visited Earth""",0
"""Stock market hits record high""",1
"""Fake news article claims that drinking bleach cures COVID-19""",0
"""Major breakthrough in cancer research""",1
"""Conspiracy theory claims that the moon landing was faked""",0
"""New policy aims to reduce carbon emissions""",1
"""Rumor spreads that celebrity has secret love child""",0
"""Economists predict strong economic growth for next year""",1
"""False report claims that 5G causes health issues""",0
"""Advancements in renewable energy technologies""",1
"""Fake news story about a cure for AIDS""",0
